A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0,-3.970.048.523,-2.512.336.381,5.346.329.613,-1.012.008.712,1.844.900.361,329.839.797,-491.590.483,good
1,-1.195.217.191,-2.839.256.528,3.664.058.758,1.588.232.309,853.285.795,867.530.082,-722.809.367,good
2,-292.023.862,-1.351.281.995,-1.738.429.162,-342.615.928,2.838.635.512,-38.033.328,2.621.636.473,bad
3,-657.195.773,-2.271.626.609,1.324.873.847,-97.874.716,3.637.970.491,-3.413.761.338,790.723.217,good
4,136.421.682,-1.296.611.877,-384.658.206,-55.300.577,3.030.874.354,-1.303.849.429,501.984.036,good
5,-3.425.399.755,-1.409.082.204,-1.913.511.195,-555.774.864,-385.307.147,1.914.615.916,-2.981.523.169,bad
6,1.331.605.736,1.635.955.715,875.974.244,-167.779.794,3.106.344.455,-1.847.416.733,2.414.170.509,good
7,-1.995.462.096,-42.895.848,1.530.643.583,-742.971.676,158.834.003,974.437.858,-1.470.125.066,good
8,-3.867.632.233,-3.734.513.576,986.429.067,-120.765.455,2.292.872.919,4.080.920.787,-4.871.904.758,bad
9,-727.982.709,-442.820.353,-4.092.222.827,597.512.917,393.714.261,1.620.856.772,2.185.607.723,bad
10,-269.933.629,-1.329.506.988,-1.418.506.853,-625.545.768,2.371.074.371,3.403.164.523,-2.810.808.169,bad
11,2.450.959.845,-564.177.407,-1.635.040.727,942.399.869,-208.731.667,1.214.321.691,1.294.323.927,good
12,-170.811.719,-1.867.271.142,-1.771.844.728,2.413.155.317,-3.094.554.738,-624.884.375,-2.076.113.997,bad
13,-1.345.530.536,-1.623.701.121,2.044.143.754,1.754.812.932,997.567.093,434.179.855,1.724.026.084,good
14,2.839.580.937,-344.798.192,-1.019.797.291,894.580.857,-1.300.060.883,58.237.862,1.709.708.209,good
15,-2.659.887.385,-2.795.684.208,4.230.403.587,697.550.395,2.180.911.101,-88.775.396,-1.083.620.788,good
16,-1.468.951.547,-1.950.359.588,-2.214.372.889,909.758.509,2.864.448.854,3.965.955.655,-558.208.683,bad
17,-74.370.177,-4.714.749.953,249.767.641,2.935.319.065,14.097.551,-2.643.810.206,1.250.970.347,good
18,-302.364.267,1.724.395.847,-2.442.337.223,3.465.108.479,449.791.675,-74.362.452,2.493.781.985,bad
19,-2.108.049.899,356.467.403,-1.156.193.279,4.326.722.517,1.561.543.116,-4.630.174.264,-137.665.721,good
20,-2.334.589.505,-2.943.708.903,-3.452.627.724,76.239.173,4.076.462.369,6.346.445.353,726.775.672,bad
21,1.177.592.782,-721.654.493,-1.387.116.215,7.619.851.801,1.069.288.382,-3.734.805.414,2.642.948.241,good
22,-2.423.946.222,-698.500.653,146.030.407,630.106.169,2.990.560.508,779.472.898,3.184.188.187,bad
23,135.714.199,-753.756.857,-2.196.146.456,1.039.276.088,580.537.553,227.308.777,2.086.618.541,bad
24,522.960.759,-1.428.085.244,-743.518.743,1.786.716.194,-4.207.543.546,-1.825.231.216,-1.430.429.857,bad
25,-1.299.468.393,-3.504.792.012,-1.129.402.004,555.905.383,-2.807.550.163,1.714.630.108,-3.846.641.823,bad
26,-300.698.281,-513.603.251,921.006.242,1.378.172.075,2.274.746.687,745.336.375,-293.402.889,good
27,1.999.830.964,669.989.798,-2.099.615.991,2.645.818.971,-989.495.892,373.330.128,-2.397.691.796,bad
28,144.605.205,1.656.691.823,-177.752.075,1.708.962.209,-341.670.322,-1.322.439.494,-1.158.128.067,bad
29,-595.825.477,153.467.991,-1.769.318.974,664.501.835,-432.874.451,800.438.687,164.595.436,bad
30,41.049.215,-2.260.290.059,-3.335.948.019,-285.205.194,-2.733.844.264,2.585.985.706,-3.036.919.711,bad
31,-2.560.871.547,-96.411.696,2.413.774.105,1.318.293.666,3.271.688.133,-1.797.184.556,-2.636.844.815,good
32,1.681.662.618,-2.981.673.805,-79.805.091,-947.866.387,3.034.812.556,-708.611.234,1.166.970.737,good
33,-588.796.035,-1.121.987.147,2.324.295.089,31.193.071,5.148.739.416,-3.351.988.405,5.560.108.693,bad
34,-34.367.939,-1.332.805.096,2.329.101.271,2.862.758.897,825.239.311,1.062.672.091,2.300.330.525,good
35,-955.402.343,-2.461.096.775,-4.087.156.169,839.107.617,1.003.216.188,497.563.997,-98.138.767,bad
36,-3.061.165.273,837.103.637,-1.076.638.228,1.524.738.013,1.764.140.258,-5.647.271,-1.495.112.616,good
37,3.948.113.709,-1.634.183.083,-4.773.780.118,19.316.313,790.539.691,1.583.097.197,-2.478.055.932,good
38,-1.796.718.509,-3.469.227.293,3.685.436.759,-164.140.623,132.029.846,1.480.109.529,-2.292.964.433,good
39,1.286.737.909,-2.429.524.527,956.133.102,1.477.542.241,4.786.375.676,-3.382.357.404,2.519.346.925,good
40,1.196.545.025,-1.448.104.291,-921.516.758,2.005.491.286,404.741.482,-700.778.848,1.071.129.708,bad
41,-354.190.342,-2.024.042.534,136.698.489,3.233.616.169,992.668.519,1.525.608.545,2.740.924.761,good
42,-153.860.666,-2.747.844.387,1.844.950.057,491.249.069,-425.815.521,125.976.818,-1.680.924.092,bad
43,807.854.104,752.707.011,179.226.346,1.451.582.185,-1.611.859.169,-2.776.274.958,184.905.607,bad
44,3.930.361.392,2.754.406.492,-2.667.949.537,1.428.248.173,92.761.232,1.095.793.658,2.627.274.158,good
45,3.347.095,-44.160.963,-481.202.468,4.937.209.505,-609.872.897,-3.231.504.027,1.248.791.791,good
46,-487.366.694,-768.805.325,-779.231.515,2.025.256.619,1.477.926.984,267.788.073,-4.454.570.173,good
47,-1.387.990.181,2.738.510.761,-2.349.216.852,953.438.489,1.860.715.718,2.317.309.906,3.097.818.375,bad
48,-3.328.571.498,652.576.936,-1.424.402.957,727.385.379,1.576.921.347,257.780.352,650.677.868,bad
49,-1.107.060.152,2.261.198.229,-2.635.197.022,882.264.783,-2.399.536,2.218.099.369,2.865.048.371,bad
50,-2.938.616.815,524.454.917,802.257.441,-1.475.930.881,-336.348.939,143.064.807,-2.298.875.523,good
51,-411.307.683,-1.758.595.285,-2.213.864.776,-149.535.258,1.576.184.296,929.197.409,1.416.983.091,bad
52,1.343.763.324,-2.514.417.138,-3.461.538.942,3.841.154.192,280.515.139,-25.436.811,85.622.891,good
53,1.205.450.296,-1.783.508.474,652.683.061,2.442.983.435,134.691.458,1.115.062.157,-1.198.656.978,good
54,3.010.344.278,-3.423.028.629,-3.110.977.964,-1.543.044.507,3.567.608.188,1.696.232.599,445.840.404,good
55,2.032.797.084,-641.021.365,-2.409.689.916,2.936.128.289,1.675.484.552,-904.588.536,2.287.350.346,good
56,1.822.657.318,-545.617.297,-367.820.835,252.983.288,-789.107.409,2.135.911.779,-3.343.955.801,good
57,1.098.486.821,-1.020.374.176,1.211.131.183,1.260.177.674,-1.029.902.705,2.622.737.988,2.662.547.829,good
58,-479.883.026,-79.195.404,-843.547.042,3.049.567.607,3.663.838.119,-365.698.656,-1.473.537.531,good
59,833.097.732,449.713.632,-1.638.548.868,-63.133.803,2.830.906.373,-668.860.377,1.049.428.799,good
60,-3.464.155.339,1.352.111.148,458.025.722,892.746.743,3.129.818.456,-174.467.453,-2.204.610.725,good
61,-467.414.092,797.045.882,-897.212.669,-1.393.983.171,492.129.797,3.201.707.789,-58.628.671,bad
62,-3.341.493.048,-1.355.556.544,1.433.646.684,1.722.356.677,112.911.807,68.878.842,1.619.183.695,bad
63,455.312.607,-2.382.895.446,-83.742.965,-236.617.514,-276.460.122,852.335.249,-31.126.053,good
64,-2.236.188.121,-1.174.561.063,1.482.703.478,-277.161.056,1.497.598.428,1.075.731.385,-936.970.586,good
65,-3.567.897.971,1.043.742.178,2.563.399.581,437.276.711,1.678.518.225,-5.313.838.222,2.071.983.608,good
66,-2.188.932.795,2.131.754.258,260.841.291,3.886.048.374,-3.196.263.115,-3.560.593.877,89.512.941,good
67,-1.569.763.886,1.059.864.965,1.518.880.096,1.666.096.276,3.068.931.353,-148.035.112,2.769.458.608,bad
68,-1.129.060.897,-257.836.171,-1.942.238.912,-20.934.662,-724.138.915,2.662.111.019,-112.472.887,bad
69,-399.608.624,-3.198.174.574,-1.250.639.262,2.909.277.682,-2.314.037.098,-231.112.054,-3.029.392.365,bad
70,610.132.436,-3.460.818.667,1.336.759.306,387.451.504,-136.781.229,2.988.645.551,-2.044.768.947,bad
71,2.354.402.289,-2.660.270.254,2.615.415.905,-3.291.210.248,4.604.454.116,-1.240.117.421,3.689.580.857,good
72,562.851.227,-1.827.989.146,-4.622.243.679,-32.573.547,2.578.804.915,2.481.541.376,1.152.768.549,bad
73,39.413.688,-1.137.430.244,477.732.329,1.656.480.571,-3.256.232.026,-503.584.221,528.698.798,bad
